親パス,容量,個数
\\gfs\Shares\00_全社共有\04_office365,2138361,5
\\gfs\Shares\00_全社共有\総務,567581,4
\\gfs\Shares\00_全社共有\06_デバイス管理,31336738,26
\\gfs\Shares\00_全社共有\06_デバイス管理\LspCatMacAgent.pkg,7705323,19
\\gfs\Shares\00_全社共有\永年勤続表彰,16388,2
\\gfs\Shares\00_全社共有\永年勤続表彰\2015年7月,0,0
\\gfs\Shares\00_全社共有\永年勤続表彰\2015年8月,0,0
\\gfs\Shares\00_全社共有\永年勤続表彰\2015年10月,0,0
\\gfs\Shares\00_全社共有\永年勤続表彰\2015年11月,0,0
\\gfs\Shares\00_全社共有\永年勤続表彰\2015年12月,0,0
\\gfs\Shares\00_全社共有\05_printer,3728955,4
\\gfs\Shares\00_全社共有\05_printer\.TemporaryItems,4096,1
\\gfs\Shares\00_全社共有\05_printer\old,1361162,1
\\gfs\Shares\00_全社共有\社員総会,1189271259,40
\\gfs\Shares\00_全社共有\社員総会\2010,142674,4
\\gfs\Shares\00_全社共有\社員総会\2011,12892559,5
\\gfs\Shares\00_全社共有\社員総会\2012,30867027,8
\\gfs\Shares\00_全社共有\社員総会\2013,777095,5
\\gfs\Shares\00_全社共有\社員総会\2014,4092893,6
\\gfs\Shares\00_全社共有\社員総会\2015,1134859656,8
\\gfs\Shares\00_全社共有\社員総会\2016,5625015,2
\\gfs\Shares\00_全社共有\会社案内,4631452577,196
\\gfs\Shares\00_全社共有\会社案内\アンティル作成,3678904,3
\\gfs\Shares\00_全社共有\会社案内\セミナー用,2504769,6
\\gfs\Shares\00_全社共有\Target,609525566,98
\\gfs\Shares\00_全社共有\Target\開催概要,1289613,2
\\gfs\Shares\00_全社共有\会社案内\過去,776897612,87
\\gfs\Shares\00_全社共有\会社案内\最新版,3848307639,95
\\gfs\Shares\00_全社共有\Target\やり取り専用,608216493,94
\\gfs\Shares\00_全社共有\websocket-sharp,17472794,333
\\gfs\Shares\00_全社共有\通信端末金額画像,2413181,38
\\gfs\Shares\00_全社共有\通信端末金額画像\古めの端末,1573578,17
\\gfs\Shares\00_全社共有\通信端末金額画像\検証端末修理申込書,170256,4
\\gfs\Shares\00_全社共有\全社朝礼,1872207620,319
\\gfs\Shares\00_全社共有\全社朝礼\FY2013,16577999,9
